vehicle,time,event,px,py,pz,speed,desiredSpeed,maxSpeed,lane,pathId,intersectionId,distTravelled,pathLength,pathPct,decision,probability,motionState,signalState,maneuverState,isBlocked,isStuck,isInQueue,routeTrace
Car_7(Clone)_4862,0.50,DESTINATION_ASSIGNED,,,,,,,,Node A,End,,,,pos=(0, 0, 340),,,,,,,,L:Lane_way e_2
Car_7(Clone)_4862,0.50,SPAWN,,,,,,,,,,,,,,,,,,,,,START
Car_7(Clone)_4862,0.50,STATE_SIGNAL,,,,,,,,Approaching,,,,,,,,,,,,,START
Car_7(Clone)_4862,0.61,FRAME,339.99,0.00,-1.75,0.01,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,0.73,FRAME,339.98,0.00,-1.75,0.08,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.01,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,0.85,FRAME,339.97,0.00,-1.75,0.20,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.02,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,0.87,STATE_MOTION,,,,,,,,Cruising,,,,,,,,,,,,,START
Car_7(Clone)_4862,0.97,FRAME,339.93,0.00,-1.75,0.38,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.06,316.79,0.000,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.01,DESTINATION_ASSIGNED,,,,,,,,Node A,End,,,,pos=(-340, 0, 0),,,,,,,,L:Lane_way n_1
Car_7(Clone)_3775,1.01,SPAWN,,,,,,,,,,,,,,,,,,,,,START
Car_7(Clone)_3775,1.01,STATE_SIGNAL,,,,,,,,Approaching,,,,,,,,,,,,,START
Car_7(Clone)_4862,1.09,FRAME,339.87,0.00,-1.75,0.62,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.12,316.79,0.000,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.11,FRAME,5.25,0.00,339.99,0.03,12.30,12.30,Lane_way n_1,Path_way n_1,way n,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,1.21,FRAME,339.77,0.00,-1.75,0.93,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.22,316.79,0.001,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.23,FRAME,5.25,0.00,339.98,0.06,12.30,12.30,Lane_way n_1,Path_way n_1,way n,0.01,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,1.34,FRAME,339.64,0.00,-1.75,1.31,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.35,316.79,0.001,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.35,FRAME,5.25,0.00,339.97,0.15,12.30,12.30,Lane_way n_1,Path_way n_1,way n,0.02,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,1.46,FRAME,339.45,0.00,-1.75,1.74,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.54,316.79,0.002,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.46,STATE_MOTION,,,,,,,,Cruising,,,,,,,,,,,,,START
Car_7(Clone)_3775,1.48,FRAME,5.25,0.00,339.95,0.22,12.30,12.30,Lane_way n_1,Path_way n_1,way n,0.04,316.79,0.000,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Jeep_2(Clone)_9985,1.52,DESTINATION_ASSIGNED,,,,,,,,Node A,End,,,,pos=(0, 0, 340),,,,,,,,L:Lane_way s_3
Jeep_2(Clone)_9985,1.52,SPAWN,,,,,,,,,,,,,,,,,,,,,START
Jeep_2(Clone)_9985,1.53,STATE_SIGNAL,,,,,,,,Approaching,,,,,,,,,,,,,START
Car_7(Clone)_4862,1.58,FRAME,339.20,0.00,-1.75,2.25,12.92,12.92,Lane_way e_2,Path_way e_2,way e,0.79,316.79,0.002,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.59,FRAME,5.25,0.00,339.91,0.40,12.30,12.30,Lane_way n_1,Path_way n_1,way n,0.08,316.79,0.000,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Jeep_2(Clone)_9985,1.64,FRAME,-1.75,0.01,-339.99,0.10,12.88,15.34,Lane_way s_3,Path_way s_3,way s,0.00,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_4862,1.70,FRAME,338.90,0.00,-1.75,2.79,12.92,12.92,Lane_way e_2,Path_way e_2,way e,1.09,316.79,0.003,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Car_7(Clone)_3775,1.72,FRAME,5.25,0.00,339.85,0.63,12.30,12.30,Lane_way n_1,Path_way n_1,way n,0.14,316.79,0.000,,,Cruising,Approaching,LaneKeeping,0,0,0,START
Jeep_2(Clone)_9985,1.75,FRAME,-1.75,0.02,-339.98,0.07,12.88,15.34,Lane_way s_3,Path_way s_3,way s,0.01,316.79,0.000,,,Idle,Approaching,LaneKeeping,0,0,0,START
